id,title,url,is_paid,num_subscribers,avg_rating,avg_rating_recent,num_reviews,num_published_lectures,num_published_practice_tests,created,published_time,discounted_price_amount,price_detail_amount,currency
762616,The Complete SQL Bootcamp 2020: Go from Zero to Hero,/course/the-complete-sql-bootcamp/,TRUE,295509,4.66019,4.67874,78006,84,0,14-02-2016,06-04-2016,455,8640,INR
937678,Tableau 2020 A-Z: Hands-On Tableau Training for Data Science,/course/tableau10/,TRUE,209070,4.58956,4.60015,54581,78,0,22-08-2016,23-08-2016,455,8640,INR
1361790,PMP Exam Prep Seminar -  PMBOK Guide 6,/course/pmp-pmbok6-35-pdus/,TRUE,155282,4.59491,4.59326,52653,292,2,26-09-2017,14-11-2017,455,8640,INR
648826,The Complete Financial Analyst Course 2020,/course/the-complete-financial-analyst-course/,TRUE,245860,4.54407,4.53772,46447,338,0,23-10-2015,21-01-2016,455,8640,INR
637930,An Entire MBA in 1 Course:Award Winning Business School Prof,/course/an-entire-mba-in-1-courseaward-winning-business-school-prof/,TRUE,374836,4.4708,4.47173,41630,83,0,12-10-2015,11-01-2016,455,8640,INR
1208634,Microsoft Power BI - A Complete Introduction [2020 EDITION],/course/powerbi-complete-introduction/,TRUE,124180,4.56228,4.57676,38093,275,0,08-05-2017,15-05-2017,455,8640,INR
864146,Agile Crash Course: Agile Project Management; Agile Delivery,/course/agile-crash-course/,TRUE,96207,4.32383,4.29118,30470,23,0,30-05-2016,23-06-2016,455,8640,INR
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/,TRUE,127680,4.54034,4.53346,28665,275,0,17-10-2014,25-11-2014,455,8640,INR
673654,Become a Product Manager | Learn the Skills & Get the Job,/course/become-a-product-manager-learn-the-skills-get-a-job/,TRUE,112572,4.50386,4.5008,27408,144,0,18-11-2015,17-03-2016,455,8640,INR
1653432,The Business Intelligence Analyst Course 2020,/course/the-business-intelligence-analyst-course-2018/,TRUE,115269,4.50067,4.49575,23906,413,0,19-04-2018,25-04-2018,455,8640,INR
1570206,Microsoft Power BI - Up & Running With Power BI Desktop,/course/microsoft-power-bi-up-running-with-power-bi-desktop/,TRUE,86715,4.61951,4.63301,23580,117,0,25-02-2018,26-04-2018,455,8640,INR
751792,Business Analysis Fundamentals,/course/business-analysis-ba/,TRUE,82015,4.49968,4.49034,23326,67,0,03-02-2016,21-02-2016,455,8640,INR
613808,Leadership: Practical Leadership Skills,/course/practical-leadership/,TRUE,68148,4.5687,4.59302,22595,43,0,16-09-2015,09-10-2015,455,5760,INR
1288044,The Complete Foundation Stock Trading Course,/course/foundation-course/,TRUE,76812,4.53878,4.54203,21537,41,0,11-07-2017,25-08-2017,455,8640,INR
1405632,SQL - MySQL for Data Analytics and Business Intelligence,/course/sql-mysql-for-data-analytics-and-business-intelligence/,TRUE,78968,4.57035,4.57067,21436,286,0,23-10-2017,25-10-2017,455,8640,INR
1202988,The Complete Financial Analyst Training & Investing Course,/course/the-complete-financial-analyst-training-and-investing-course/,TRUE,182002,4.49571,4.49507,21421,225,0,03-05-2017,17-08-2017,455,8640,INR
996228,The Ultimate Hands-On Hadoop - Tame your Big Data!,/course/the-ultimate-hands-on-hadoop-tame-your-big-data/,TRUE,114945,4.51251,4.52998,21394,101,0,27-10-2016,23-02-2017,455,8640,INR
965832,The Complete Investment Banking Course 2020,/course/the-complete-investment-banking-course-2016/,TRUE,88468,4.49804,4.48929,19970,160,0,23-09-2016,10-10-2016,455,8640,INR
560388,How to Start an Amazon FBA Store on a Tight Budget,/course/sell-on-amazon-as-small-start-up/,TRUE,72442,4.59922,4.59604,19328,103,0,21-07-2015,01-11-2015,455,8640,INR
980086,Deep Learning Prerequisites: The Numpy Stack in Python (V2+),/course/deep-learning-prerequisites-the-numpy-stack-in-python/,TRUE,239309,4.47381,4.54005,18322,47,0,10-10-2016,12-10-2016,455,1280,INR
1035472,Python for Finance: Investment Fundamentals & Data Analytics,/course/python-for-finance-investment-fundamentals-data-analytics/,TRUE,83072,4.51891,4.52806,17617,111,0,08-12-2016,30-03-2017,455,8640,INR
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,/course/forex-trading/,TRUE,67329,4.56473,4.5554,17016,57,0,26-09-2014,12-12-2014,455,8640,INR
888716,"Introduction to Finance, Accounting, Modeling and Valuation",/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,TRUE,140676,4.4758,4.46916,17013,61,0,26-06-2016,28-06-2016,500,9280,INR
946654,Write Better Emails: Tactics for Smarter Team Communication,/course/write-better-emails/,TRUE,50037,4.42501,4.41557,15956,23,0,31-08-2016,15-04-2017,455,2560,INR
946742,Beginning Project Management: Project Management Level One,/course/beginning-project-management-project-management-level-one/,TRUE,48055,4.43303,4.42199,14255,44,0,31-08-2016,04-09-2016,455,4800,INR
1153034,The Complete Shopify Aliexpress Dropship course,/course/the-complete-shopify-aliexpress-dropship-course/,TRUE,74011,4.62899,4.63196,14006,88,0,21-03-2017,19-04-2017,455,8640,INR
196152,Writing With Flair: How To Become An Exceptional Writer,/course/writing-with-flair-how-to-become-an-exceptional-writer/,TRUE,102727,4.55248,4.56591,12478,78,0,09-04-2014,30-04-2014,455,8640,INR
2013892,Agile Fundamentals: Including Scrum and Kanban - 2020,/course/agile-fundamentals-scrum-kanban-scrumban/,TRUE,49877,4.40093,4.40429,11977,88,0,08-11-2018,10-11-2018,455,8640,INR
203556,SQL for Data Analysis: Weekender Crash Course for Beginners,/course/sql-for-newbs/,TRUE,59141,4.34305,4.33968,11660,39,0,23-04-2014,21-11-2014,455,8640,INR
563478,Sales Training: Practical Sales Techniques,/course/master-successful-selling/,TRUE,38698,4.57554,4.58325,11529,31,0,24-07-2015,13-09-2015,455,6720,INR
736456,Ninja Writing: The Four Levels Of Writing Mastery,/course/ninja-writing-the-four-levels-of-writing-mastery/,TRUE,85042,4.42296,4.42503,11007,49,0,21-01-2016,01-02-2016,455,8640,INR
946194,Tableau 20 Advanced Training: Master Tableau in Data Science,/course/tableau10-advanced/,TRUE,63084,4.63452,4.64145,10979,74,0,31-08-2016,05-10-2016,455,8640,INR
536706,"Tableau for Beginners: Get CA Certified, Grow Your Career",/course/tableau-accelerate-your-career-and-get-certified/,TRUE,39873,4.46625,4.49998,10725,124,0,25-06-2015,09-11-2015,455,2560,INR
139166,Conscious Listening,/course/conscious-listening/,TRUE,27681,4.47545,4.48064,10671,14,0,29-12-2013,31-12-2013,0,2240,INR
552372,Email Etiquette: Write More Effective Emails At Work,/course/business-emails/,TRUE,33319,4.38382,4.39496,10470,29,0,12-07-2015,13-10-2017,455,1920,INR
1098006,The Complete Presentation and Public Speaking/Speech Course,/course/the-complete-presentation-and-public-speaking-speech-course/,TRUE,158654,4.46745,4.44446,10288,206,0,31-01-2017,02-05-2017,540,10240,INR
1411586,"CAPM Exam Prep Seminar - PMBOK Guide, Sixth Edition",/course/capm-pmbok6/,TRUE,29061,4.56978,4.56584,10102,284,2,27-10-2017,23-12-2017,455,8640,INR
1340842,Robotic Process Automation - RPA Overview,/course/robotic-process-automation/,TRUE,28937,4.36402,4.39681,10059,23,0,03-09-2017,06-09-2017,455,8640,INR
1007240,Power BI A-Z: Hands-On Power BI Training For Data Science!,/course/mspowerbi/,TRUE,72406,4.4679,4.45238,9631,44,0,09-11-2016,09-11-2016,455,8640,INR
2246852,Emotional Intelligence at Work: Learn from Your Emotions,/course/emotional-intelligence-at-work-learn-from-your-emotions/,TRUE,20978,4.45476,4.45477,9594,21,1,28-02-2019,18-03-2019,0,3200,INR
139200,Powerful speaking,/course/powerful-speaking/,TRUE,34296,4.4375,4.45212,9520,19,0,29-12-2013,31-12-2013,0,2240,INR
419658,eBay Drop Shipping Guide with No Inventory - Work From Home,/course/ebay-drop-shipping-guide-with-no-inventory-work-from-home/,TRUE,39816,4.41,4.41373,9195,86,0,11-02-2015,12-03-2015,455,8640,INR
1802404,The Complete Communication Skills Master Class for Life,/course/the-complete-communication-skills-master-class-for-life/,TRUE,62384,4.35213,4.33177,9196,600,0,16-07-2018,21-07-2018,546,10240,INR
48841,Accounting in 60 Minutes - A Brief Introduction,/course/accounting-in-60-minutes-a-brief-introduction/,TRUE,79955,4.50237,4.50644,9107,16,0,07-04-2013,07-04-2013,533,2240,INR
